Segmento;Tráfico;Movimiento;TipoVuelo;Origen;Destino;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1;1;2;1;Guayaquil;Ámsterdam;38478;3738;3570;3905;3353;3705;2853;2517;3018;2960;3403;2920;2536
1;1;2;1;Guayaquil;Aruba;470;30;4;19;9;68;85;19;47;54;35;63;37
1;1;2;1;Guayaquil;Bogotá;227550;19961;19185;22265;21344;17979;13602;18620;23247;19360;16869;18280;16838
1;1;2;1;Guayaquil;Buenos Aires;3099;0;0;0;0;0;0;0;0;0;107;1801;1191
1;1;2;1;Guayaquil;Cartagena;515;0;0;0;0;0;0;0;0;0;0;0;515
1;1;2;1;Guayaquil;Curacao;2;0;0;2;0;0;0;0;0;0;0;0;0
1;1;2;1;Guayaquil;El Salvador;28207;2976;1903;2231;2652;2668;2530;2501;2944;2379;2091;1717;1615
1;1;2;1;Guayaquil;Fort Lauderdale;101824;9112;8973;10034;9563;9148;8304;9830;10175;8670;7441;4612;5962
1;1;2;1;Guayaquil;Lima;81588;5472;5238;5924;7360;6721;6997;7035;8838;7366;7527;7003;6107
1;1;2;1;Guayaquil;Madrid;105925;9810;9396;8143;9390;8411;9145;9441;10346;9885;8367;7333;6258
1;1;2;1;Guayaquil;Medellín;747;0;0;0;0;0;0;0;0;0;0;0;747
1;1;2;1;Guayaquil;Miami;112702;8693;8876;9410;9420;9301;9225;9762;10329;9967;9744;9372;8603
1;1;2;1;Guayaquil;New York;113620;8346;8116;9975;9534;9965;9277;9806;10562;9966;9301;9132;9640
1;1;2;1;Guayaquil;Panamá;281211;15204;22458;27213;24294;23256;22355;24152;28298;25777;25717;23918;18569
1;1;2;1;Guayaquil;Punta Cana (Rep. Dominicana);2648;0;0;0;0;0;0;0;0;0;162;1253;1233
1;1;2;1;Guayaquil;San José;1682;0;0;0;0;0;0;0;0;0;143;742;797
1;1;2;1;Guayaquil;Santiago;42689;3452;3590;3958;3206;3132;2758;3841;3830;3767;3978;3972;3205
1;1;2;1;Guayaquil;Santo Domingo (Rep. Dominicana);9108;717;631;863;956;746;614;979;1236;1331;1035;0;0
1;1;1;1;Panamá;Manta;26575;1149;1262;2222;2434;2468;2372;2636;2663;3060;2264;2052;1993
1;1;2;1;Manta;Panamá;24657;1354;1418;2241;2373;2179;1971;2146;2781;2652;2107;1956;1479
1;1;1;2;Asunción;Quito;45;0;0;0;0;0;0;45;0;0;0;0;0
1;1;1;2;Barranquilla;Quito;122;0;0;0;77;0;0;0;0;0;0;45;0
1;1;1;2;Buenos Aires;Quito;524;0;0;0;85;99;0;167;173;0;0;0;0
1;1;1;2;Bucaramanga;Quito;36;0;0;0;0;36;0;0;0;0;0;0;0
1;1;1;2;Carácas;Quito;1289;730;56;148;138;85;80;52;0;0;0;0;0
1;1;1;2;Cartagena;Quito;429;0;0;0;0;0;126;146;157;0;0;0;0
1;1;1;2;Curitiba;Quito;60;0;0;0;0;0;0;0;0;60;0;0;0
1;1;1;2;Haití;Quito;157;0;0;0;0;0;0;0;0;0;0;0;157
1;1;1;2;Lima;Quito;281;0;154;0;69;56;0;0;0;0;0;2;0
1;1;1;2;Manaos;Quito;104;0;0;0;104;0;0;0;0;0;0;0;0
1;1;1;2;Margarita (Venezuela);Quito;396;0;0;0;0;0;0;125;271;0;0;0;0
1;1;1;2;Medellín;Quito;96;0;0;0;96;0;0;0;0;0;0;0;0
